index,APROVA,FRETE,UF,VALOR,DESCONTO,COND_PAGTO,CONTROLE,PERC
1,1,C,SP,147.75,52.78,17.5,-2.75,0.0
2,1,C,RS,357.37925,47.86,19.25,0.83,71.43
3,1,C,SP,204.5675,50.03,21.0,-1.06,36.51
4,1,C,SP,1132.485,52.83,21.0,-3.1,0.0
5,1,C,SP,417.50999999999993,52.52,21.0,-1.68,5.98
6,1,C,SP,1966.1655,48.36,21.0,5.51,0.0
7,1,C,SP,211.66,52.23,21.0,-6.85,47.06
8,1,C,SP,2060.92,52.78,17.5,-5.02,0.0
9,1,C,SP,1264.395,52.78,17.5,-5.29,0.0
10,1,C,MG,198.2,55.07,21.0,-12.35,50.0
11,1,C,SP,638.03,52.81,17.5,-5.38,0.0
12,1,C,RJ,1036.86875,52.93,17.5,-5.73,0.0
13,1,C,RS,626.73175,46.77,17.5,12.86,0.0
14,1,C,SP,139.34325,48.94,17.5,1.03,37.14
15,1,C,PB,211.6,52.02,0.5,-3.69,46.88
16,1,C,BA,189.73625,55.62,21.0,-9.05,31.25
17,1,C,SP,405.31,52.82,21.0,-2.8,0.0
18,1,C,GO,1312.125,47.19,21.0,6.32,0.0
19,1,C,MT,452.859,56.73,21.0,-10.47,0.0
20,1,C,DF,1189.23,50.6,21.0,0.08,80.99
21,1,C,SP,255.7875,50.48,21.0,-0.56,57.14
22,1,C,SP,293.6,50.73,21.0,-7.44,100.0
23,1,C,SP,399.45,50.73,21.0,-7.44,100.0
24,1,C,BA,142.25,50.78,21.0,-0.57,0.0
25,1,C,RS,462.84475,50.39,21.0,-5.44,80.57
26,1,C,CE,969.298,52.71,21.0,-4.33,70.33
27,1,C,BA,631.175,50.58,21.0,-3.98,60.65
28,1,C,SP,348.145,50.92,21.0,-3.42,65.22
29,1,C,GO,206.505,47.51,21.0,6.94,0.0
30,1,C,MT,2353.15775,56.16,21.0,-8.88,6.54
31,1,C,PA,901.5725,55.35,21.0,-7.57,0.0
32,1,C,SP,147.15,47.85,17.5,5.35,0.0
33,1,C,CE,196.29675,50.13,21.0,-4.82,95.24
34,1,C,SP,137.0,47.53,19.25,10.87,0.0
35,1,C,MT,342.99725,56.03,21.0,-8.12,32.26
36,1,C,CE,638.35525,51.97,0.5,-3.78,9.96
37,1,C,MT,468.0775,56.39,21.0,-11.51,40.98
38,1,C,SP,212.98375,49.82,14.0,1.68,0.0
39,1,C,SE,453.83499999999987,55.53,21.0,-9.22,22.81
40,1,C,MS,222.005,53.25,21.0,-7.47,51.43
41,1,C,MS,236.5665,53.79,21.0,-9.41,74.67
42,1,C,SP,251.8275,50.57,17.5,1.58,0.0
43,1,C,PB,235.425,51.48,0.5,-3.11,35.0
44,1,C,RS,514.31025,50.61,21.0,-5.42,85.31
45,1,C,SP,86.4,53.15,17.5,-5.13,0.0
46,1,C,BA,1843.025,52.92,21.0,-4.23,34.11
47,1,C,SP,140.23624999999998,48.9,21.0,2.38,25.93
48,1,C,RJ,9178.41975,57.51,0.5,-13.34,38.46
49,1,C,RS,188.20625,48.37,19.25,0.95,50.0
50,1,C,SP,1133.51075,46.55,30.0,6.96,37.08
51,1,C,SP,503.94425,52.44,21.0,-4.14,38.6
52,1,C,SP,89.73575,44.27,30.0,12.91,11.28
53,1,C,SP,136.4525,51.87,19.25,-6.46,74.19
54,1,C,SP,216.18,51.79,21.0,-5.6,47.44
55,1,C,SP,247.9,52.26,21.0,-5.38,41.67
56,1,C,SP,638.09875,52.69,21.0,-5.49,39.6
57,1,C,SP,788.84825,46.37,30.0,8.91,12.17
58,1,C,GO,353.7,50.99,21.0,0.4,0.0
59,1,C,SP,175.1,50.4,21.0,-1.57,24.07
60,1,C,SP,363.675,50.74,21.0,-6.41,77.35
61,1,C,MG,203.55000000000004,48.96,21.0,2.31,27.78
62,1,C,SP,118.425,51.24,21.0,2.34,88.89
63,1,C,SP,101.975,50.73,21.0,-7.44,100.0
64,1,C,SP,147.08675,45.24,30.0,14.69,29.27
65,1,C,PR,244.03,49.82,21.0,3.0,0.0
66,1,C,CE,160.37324999999996,48.98,21.0,1.89,47.37
67,1,C,CE,278.834,50.23,0.5,-3.17,75.32
68,1,C,RS,235.8515,50.46,21.0,0.36,37.21
69,1,C,RJ,680.613,50.83,30.0,-1.45,26.26
70,1,C,SP,230.8375,44.98,30.0,13.65,16.3
71,1,C,SP,566.8245,45.71,30.0,9.24,24.47
72,1,C,RJ,203.98925,48.63,30.0,5.4,25.87
73,1,C,MA,466.67775,51.06,0.5,-1.97,48.19
74,1,C,RJ,2640.21,58.7,21.0,-14.29,0.0
75,1,C,SP,211.7655,45.48,30.0,11.53,20.81
76,1,C,SP,138.06,50.25,0.5,-3.29,54.05
77,1,C,SP,369.9195,45.04,30.0,13.01,13.99
78,1,C,SP,215.265,51.24,21.0,-2.19,25.0
79,1,C,SP,934.15,53.61,21.0,-4.42,0.0
80,1,C,RO,1381.85875,51.61,17.5,-1.68,23.77
81,1,C,SP,205.48825,46.17,30.0,8.51,14.77
82,1,C,MS,190.50225,54.35,19.25,-1.21,0.0
83,1,C,RJ,975.975,50.18,30.0,-0.68,31.2
84,1,C,MT,1428.60325,56.97,21.0,-11.42,29.29
85,1,C,SP,218.90175,45.95,30.0,10.19,21.16
86,1,C,SP,1100.26,51.03,21.0,-0.92,0.0
87,1,C,MT,2318.19375,58.08,21.0,-16.28,61.28
88,1,C,SP,369.205,45.59,30.0,8.72,31.77
89,1,C,RJ,873.6585,50.91,30.0,-2.48,41.75
90,1,C,SP,481.58099999999996,45.63,30.0,10.15,11.94
91,1,C,CE,239.40200000000002,49.34,21.0,6.45,50.42
92,1,C,RJ,665.64325,49.62,30.0,1.1,24.48
93,1,C,GO,128.15,47.46,21.0,6.19,0.0
94,1,C,MG,1251.756,48.8,21.0,4.32,0.0
95,1,C,MG,4835.103,49.18,21.0,4.12,0.0
96,1,C,SP,1585.8049999999996,52.83,21.0,-8.01,52.18
97,1,C,SP,1111.1,54.93,21.0,-6.63,0.0
98,1,C,MT,214.90375,54.49,17.5,-9.55,54.55
99,1,C,BA,1169.7,45.11,21.0,6.95,98.3
100,1,C,RS,434.33025,51.46,0.5,-0.08,51.71
101,1,C,SP,1349.16925,52.77,21.0,-4.89,39.43
102,1,C,RJ,372.62875,53.16,17.5,-3.72,0.0
103,1,C,SP,495.025,52.83,28.0,-2.62,0.0
104,1,C,RJ,1019.602,49.98,30.0,0.42,27.34
105,1,C,RS,181.138,55.42,21.0,-9.55,14.0
106,1,C,SP,413.25,51.96,14.0,-2.8,0.0
107,1,C,SP,213.726,45.94,30.0,10.43,17.06
108,1,C,SP,264.24125,52.18,21.0,-3.4,20.83
109,1,C,MG,544.55,57.19,0.5,-16.53,70.31
110,1,C,PR,447.959,57.89,17.5,-14.23,0.0
111,1,C,CE,784.048,50.26,0.5,-2.15,50.0
112,1,C,SP,143.12,52.61,21.0,-2.98,0.0
113,1,C,CE,851.2995,50.07,0.5,-2.75,62.11
114,1,C,SP,333.86075,45.22,30.0,12.2,31.93
115,1,C,SP,485.74025,50.45,17.5,-3.29,79.07
116,1,C,RJ,536.8534999999998,49.54,30.0,1.85,12.95
117,1,C,SP,414.462,50.14,17.5,-5.93,99.92
118,1,C,GO,3491.9580000000005,50.23,21.0,3.92,52.12
119,1,C,CE,439.5,53.21,0.5,-10.8,95.24
120,1,C,CE,431.43625,54.35,21.0,-5.26,0.0
121,1,C,RS,348.4225,49.66,21.0,1.04,32.0
122,1,C,SP,250.636,46.19,30.0,10.16,25.74
123,1,C,CE,1116.96275,55.14,21.0,-13.59,84.92
124,1,C,CE,440.29750000000007,54.6,21.0,-11.03,58.54
125,1,C,CE,316.191,50.46,21.0,8.87,0.0
126,1,C,SP,1819.3,51.4,21.0,7.76,0.0
127,1,C,CE,309.62,53.69,21.0,-1.16,0.0
128,1,C,SP,5614.219999999998,51.4,21.0,9.12,0.0
129,1,C,MS,4090.04875,58.2,21.0,-14.64,26.79
130,1,C,MS,245.40599999999998,53.19,21.0,-4.35,0.0
131,1,C,MT,18305.35575,61.69,21.0,-20.63,23.78
132,1,C,SP,1327.3125,49.98,17.5,-5.31,92.31
133,1,C,DF,263.45,48.72,21.0,-2.16,92.39
134,1,C,SP,193.49475,53.17,21.0,-3.38,0.0
135,1,C,SP,124.12525,53.05,21.0,-3.91,0.0
136,1,C,SE,158.38025,53.1,21.0,-6.17,29.85
137,1,C,RJ,1446.1425,56.75,21.0,-13.69,38.98
138,1,C,SP,321.13725,45.59,30.0,11.38,11.46
139,1,C,SP,267.502,52.2,17.5,-4.31,0.0
140,1,C,SP,267.502,52.2,17.5,-4.31,0.0
141,1,C,SP,370.81875,51.36,21.0,-7.92,94.1
142,1,C,SP,734.0419999999999,46.36,30.0,7.73,44.68
143,1,C,CE,652.23975,50.76,0.5,-4.21,60.73
144,1,C,SP,181.638,45.88,20.0,11.43,10.58
145,1,C,MS,309.10575,53.31,21.0,-4.36,22.22
146,1,C,SP,297.9482500000001,45.09,30.0,12.38,18.58
147,1,C,RJ,511.05075,50.44,30.0,-2.2,47.53
148,1,C,SC,139.532,46.77,17.5,12.8,0.0
149,1,C,SP,226.3685,45.65,30.0,11.12,30.42
150,1,C,MS,754.40575,54.68,21.0,-8.84,37.56
